id,name,city,country,icao,tz,latitude,longitude
3411,Barter Island LRRS Airport,Barter Island,USA,PABA,America/Anchorage,70.13400269,-143.5820007
3413,Cape Lisburne LRRS Airport,Cape Lisburne,USA,PALU,America/Anchorage,68.87509918,-166.1100006
3414,Point Lay LRRS Airport,Point Lay,USA,PPIZ,America/Anchorage,69.73290253,-163.0050049
3415,Hilo International Airport,Hilo,USA,PHTO,Pacific/Honolulu,19.72139931,-155.0480042
3416,Orlando Executive Airport,Orlando,USA,KORL,America/New_York,28.5454998,-81.332901
3417,Bettles Airport,Bettles,USA,PABT,America/Anchorage,66.91390228,-151.529007
3418,Clear Airport,Clear Mews,USA,PACL,America/Anchorage,64.301201,-149.119995
3419,Indian Mountain LRRS Airport,Indian Mountains,USA,PAIM,America/Anchorage,65.99279785,-153.7039948
3420,Fort Yukon Airport,Fort Yukon,USA,PFYU,America/Anchorage,66.57150269,-145.25
3421,Sparrevohn LRRS Airport,Sparrevohn,USA,PASV,America/Anchorage,61.09740067,-155.5740051
3422,Bryant Army Heliport,Fort Richardson,USA,PAFR,America/Anchorage,61.26639938,-149.6529999
3423,Tatalina LRRS Airport,Tatalina,USA,PATL,America/Anchorage,62.89440155,-155.977005
3424,Cape Romanzof LRRS Airport,Cape Romanzof,USA,PACZ,America/Anchorage,61.78030014,-166.0390015
3425,Laurence G Hanscom Field,Bedford,USA,KBED,America/New_York,42.47000122,-71.28900146
3426,St Paul Island Airport,St. Paul Island,USA,PASN,America/Anchorage,57.16730118,-170.2200012
3427,Cape Newenham LRRS Airport,Cape Newenham,USA,PAEH,America/Anchorage,58.64640045,-162.0630035
3428,St George Airport,Point Barrow,USA,PAPB,America/Anchorage,56.57830048,-169.6620026
3429,Iliamna Airport,Iliamna,USA,PAIL,America/Anchorage,59.75439835,-154.9109955
3430,Platinum Airport,Port Moller,USA,PAPM,America/Anchorage,59.01139832,-161.8200073
3431,Big Mountain Airport,Big Mountain,USA,PABM,America/Anchorage,59.36119843,-155.2590027
3432,Oscoda Wurtsmith Airport,Oscoda,USA,KOSC,America/New_York,44.45159912,-83.39409637
3433,Marina Municipal Airport,Fort Ord,USA,KOAR,America/Los_Angeles,36.68190002,-121.762001
3434,Sacramento Mather Airport,Sacramento,USA,KMHR,America/Los_Angeles,38.55390167,-121.2979965
3435,Bicycle Lake Army Air Field,Fort Irwin,USA,KBYS,America/Los_Angeles,35.2804985,-116.6299973
3436,Twentynine Palms (Self) Airport,Twenty Nine Palms,USA,KNXP,America/Los_Angeles,34.2961998,-116.1620026
3437,Fort Smith Regional Airport,Fort Smith,USA,KFSM,America/Chicago,35.33660126,-94.36740112
3438,Merrill Field,Anchorage,USA,PAMR,America/Anchorage,61.21350098,-149.8439941
3439,Grants-Milan Municipal Airport,Grants,USA,KGNT,America/Denver,35.16730118,-107.9020004
3440,Ponca City Regional Airport,Ponca City,USA,KPNC,America/Chicago,36.73199844,-97.09980011
